Symbol	Name
S4TW	S&P 400 Stocks Above 20-Day Average
S5FI	S&P 500 Stocks Above 50-Day Average
S5OF	S&P 500 Stocks Above 150-Day Average
S5OH	S&P 500 Stocks Above 100-Day Average
S5TH	S&P 500 Stocks Above 200-Day Average
S5TR	S&P 500 Consumer Durables & Apparel [Tr]
S5TW	S&P 500 Stocks Above 20-Day Average
S6CD	S&P Smallcap600 Capped Consumer Discretionary [S
S6CS	S&P Smallcap600 Capped Consumer Staples [Sector]
S6EP	S&P Smallcap600 Capped Energy [Sector]Index
S6FI	S&P 600 Stocks Above 50-Day Average
S6FP	S&P Smallcap600 Capped Financials [Sector]Index
S6HC	S&P Smallcap600 Capped Healthcare [Sector]Index
S6IP	S&P Smallcap600 Capped Industrials [Sector]Index
S6MP	S&P Smallcap600 Capped Materials [Sector]Index
S6OF	S&P 600 Stocks Above 150-Day Average
S6OH	S&P 600 Stocks Above 100-Day Average
S6TH	S&P 600 Stocks Above 200-Day Average
S6TP	S&P Smallcap600 Capped Information Technology [S
S6TR	S&P 500 Consumer Services [Tr]
S6TW	S&P 600 Stocks Above 20-Day Average
S6UP	S&P Smallcap600 Capped Utilities & Telecom Servi
S7TR	S&P 500 Diversified Financials [Tr]
S8TR	S&P 500 Energy [Tr]
S9TR	S&P 500 Food & Staples Retailing [Tr]
SAAA	S&P Asia Alternative Energy Index
SAAB	S&P Asia Infrastructure Index
SAAC	S&P Asia Water Index
SAAE	Rbs Clean Renewable Energy Usdtr Index
SAAI	Rbs India Adr/Gdrtr Index
SAAM	Rbs Global Metal & Mining Tr Index
SAAW	Rbs Water Stocks Usd Tr Index
SACC	Alpha Shares China Small Cap Index
SACN	Alpha Shares China Technology Index
SACP	Rbs Climate Change & Environment Eurpr Index
SACT	Rbs Climate Change & Environment Eurtr Index
SAEI	S&P Global Alternative Energy Index [Euro]
SAER	S&P GSCI Agriculture Capped Component 35/20 Eur
SAEU	S&P Global Alternative Energy Index
SAIE	S&P Africa 40 Index [Euro]
SAIU	S&P Africa 40 Index
SAJR	MSCI Wise Asia Ex-Japan Top [Net Tr]
SAJT	MSCI Wise Asia Ex-Japan Top
SANA	S&P Agribusiness North America
SANC	S&P Agribusiness North America Cad
SAPE	S&P Asia Property 40 Index
SAPT	S&P GSCI All Metals Capped Commodity 35/20 Eur I
SAPU	S&P Asia Property 40 Index [Euro]
SAQA	S&P Global Water Index
SAQE	S&P Global Water Index [Euro]
SASE	Rbs Solar Energy Tr Index
SAUE	S&P GSCI Agriculture Capped Component 35/20 Eur
SAWP	Rbs Wind Pr Index
SAWT	Rbs Wind Tr Index
SBAI	S&P Brazil Adr Index
SBER	S&P GSCI Biofuel Index Excess Return
SBES	Blo M Emerging Shariah Index [Nettr]
SBIX	S&P 500 Banks non-TR
SBNP	S&P Custom/Bnp Paribas Spectrumus Sect Or Moment
SBRX	Rbs Bric 11 Pr Index
SBSE	S&P Bric Shariah Index [Euro]
SBSU	S&P Bric Shariah Index
SBTR	S&P GSCI Biofuel Index Total Return
SBUP	S&P Food & Beverage Select Industry Index
SCBR	S&P Bmi Russia [Capped] [Usdollar]
SCEI	Cs/Rt Emerging Infrastructure Index [Nettr]
SCGD	Credit Suisse Germany Index
SCGO	Credit Suisse Global Nanotech Index
SCGT	Beacon Global Timber Index
SCII	Cat China Infrastructure [Tr]
SCIR	S&P GSCI North American Copper Index Excess Retu
SCIS	S&P GSCI North American Copper Index
SCIT	S&P GSCI North American Copper Index Total Retur
SCPC	S&P Custom/Polaris China Play Index [Twd]
SCPX	Credit Suisse Germany Price Return Index
SCRC	S&P /Citic China 30 Index
SCRE	Alpha Shares China Real Estate Index
SCSC	S&P /Citic 300 Index
SCSE	S&P /Citic 50 Index
SCSR	Cs/Rt Emerging Infrastructure Price Return Index
SCUT	S&P/Citic 300 -  Utilities [Sector]
SCWI	Cat China Water [Tr]
SCWP	S&P Developed Ex-U.S.Property [Usdollar]
SCYE	S&P Chinese Renminbi Price Return Index
SCYI	S&P Chinese Renminbi Total Return
SDCG	Defined Multicap Growth Index
SDCV	Defined Multicap Value Index
SDDE	Wisdom Tree Domestic Dividends Index Ex Financia
SDDM	Dwa International Developed Markets Technical Le
SDDV	Dws Top Divide X Index [Tr]
SDEM	Dwa International Emerging Markets Technical Lea
SDEW	S&P 400 Midcap Equal Weighted Index
SDGO	Defined Large Cap Growth Opportunities Index
SDIP	S&P Dcfi Index Excess Return
SDIS	S&P Dcfiindex
SDIT	S&P Dcfi Index Total Return
SDLC	Defined Large Cap Core Index
SDMC	Defined Mid Cap Core Index
SDPI	Goldman Sachs Brics Nifty 50 Developed Markets I
SDSC	Defined Small Cap Core Index
SDTI	Goldman Sachs Brics Nifty 50 Developed Markets I
SDTR	S&P 500 Food Beverage & Tobacco [Tr]
SDTS	S&P Diversified Trends Indicator
SDTT	S&P Diversified Trends Total Return Indicator Le
SDVO	Defined Large Cap Value Opportunities Index
SDWI	Dws Infrastru X Index [Tr]
SEAN	S&P Southeast Asia 40 Index [Nettr]
SEBI	S-Network Emerging Infrastructure Builders Index
SECA	S&P GSCI Enhanced Commodity Index
SECB	S&P GSCI Enhanced Commodity Index Excess Return
SECC	S&P GSCI Enhanced Commodity Index Total Return
SEIB	S-Network Emerging Infrastructure Builders Index
SEIE	S&P Global Eco Index [Euro]
SEII	Cs/Rt Emerging Infrastructure Index
SEIT	S&P Global Reit [Aud]
SEIU	S&P Global Eco Index
SEMT	Brics Nifty 50 Emerging Market Tradable Index Tr
SENSEX	BSE SENSEX
SEXR	S&P C.S. Wa-Seattle Home Price Index
SFTR	S&P 500 - Pharmaceuticals Biotechnology & Life
SFXR	S&P C.S. Ca-San Francisco Home Price Index
SG0A	S&P GSCI Agriculture & Live Stock Index
SG0B	S&P GSCI Agriculture & Live Stock Index Excess R
SG0C	S&P GSCI Agriculture & Live Stock Index Total Re
SG0D	S&P GSCI Agriculture Index Excess Return
SG0E	S&P GSCI Agriculture Index Total Return
SG0F	S&P GSCI All Cattle Index
SG0G	S&P GSCI All Cattle Index Excess Return
SG0H	S&P GSCI All Cattle Index Total Return
SG0I	S&P GSCI All Crude Index
SG1A	S&P GSCI All Crude Index Total Return
SG1B	S&P GSCI All Wheat Index
SG1C	S&P GSCI All Wheat Index Excess Return
SG1D	S&P GSCI All Wheat Index Total Return
SG1E	S&P GSCI Aluminum Index
SG1F	S&P GSCI Aluminum Index Excess Return
SG1G	S&P GSCI Aluminum Index Total Return
SG1H	S&P GSCI Soybean Oil Index
SG1I	S&P GSCI Soybean Oil Index Excess Return
SG1J	S&P GSCI All Crude Index Excess Return
SG2A	S&P GSCI Brent Crude Index
SG2B	S&P GSCI Brent Crude Index Excess Return
SG2C	S&P GSCI Brent Crude Index Total Return
SG2D	S&P GSCI Cocoa Index
SG2E	S&P GSCI Cocoa Index Excess Return
SG2F	S&P GSCI Cocoa Index Total Return
SG2G	S&P GSCI Coffee Index Co Index
SG2H	S&P GSCI Coffee Index Excess Return
SG2I	S&P GSCI Coffee Index Total Return
SG2J	S&P GSCI Soybean Oil Index Total Return
SG3A	S&P GSCI Copper Index Excess Return
SG3B	S&P GSCI Copper Index Total Return
SG3C	S&P GSCI Corn Index
SG3D	S&P GSCI Corn Index Excess Return
SG3E	S&P GSCI Corn Index Total Return
SG3F	S&P GSCI Cotton Index
SG3G	S&P GSCI Cotton Index Excess Return
SG3H	S&P GSCI Cotton Index Total Return
SG3I	S&P GSCI Crude Oil Index
SG3J	S&P GSCI Copper Index
SG4A	S&P GSCI Crude Oil Index Total Return
SG4B	S&P GSCI Energy And Metals Index
SG4C	S&P GSCI Energy And Metals Index Excess Return
SG4D	S&P GSCI Energy And Metals Index Total Return
SG4E	S&P GSCI Energy Index Excess Return
SG4F	S&P GSCI Energy Index Total Return
SG4G	S&P GSCI Feeder Cattle Index
SG4H	S&P GSCI Feeder Cattle Index Excess Return
SG4I	S&P GSCI Feeder Cattle Index Total Return
SG4J	S&P GSCI Crude Oil Index Excess Return
SG5A	S&P GSCI Gas Oil Index Excess Return
SG5B	S&P GSCI Gas Oil Index Total Return
SG5C	S&P GSCI Gold Index
SG5D	S&P GSCI Gold Index Excess Return
SG5E	S&P GSCI Gold Index Total Return
SG5F	S&P GSCI Grains Index
SG5G	S&P GSCI Grains Index Excess Return
SG5H	S&P GSCI Grains Index Total Return
SG5I	S&P GSCI Heating Oil Index
SG5J	S&P GSCI Gas Oil Index
SG6A	S&P GSCI Heating Oil Index Total Return
SG6B	S&P GSCI Industrial Metals Index Excess Return
SG6C	S&P GSCI Industrial Metals Index Total Return
SG6D	S&P GSCI Kansas Wheat Index
SG6E	S&P GSCI Kansas Wheat Index Excess Return
SG6F	S&P GSCI Kansas Wheat Index Total Return
SG6G	S&P GSCI Lead Index
SG6H	S&P GSCI Lead Index Excess Return
SG6I	S&P GSCI Lead Index Total Return
SG6J	S&P GSCI Heating Oil Index Excess Return
SG7A	S&P GSCI Lean Hogs Index Excess Return
SG7B	S&P GSCI Lean Hogs Index Total Return
SG7C	S&P GSCI Light Energy Index [Cpw4]
SG7D	S&P GSCI Light Energy Index [Cpw4] Excess Return
SG7E	S&P GSCI Light Energy Index [Cpw4] Total Return
SG7F	S&P GSCI Live Cattle Index
SG7G	S&P GSCI Live Cattle Index Excess Return
SG7H	S&P GSCI Live Cattle Index Total Return
SG7I	S&P GSCI Livestock Index Excess Return
SG7J	S&P GSCI Lean Hogs Index
SG8A	S&P GSCI Natural Gas Index
SG8B	S&P GSCI Natural Gas Index Excess Return
SG8C	S&P GSCI Natural Gas Index Total Return
SG8D	S&P GSCI Nickel Index
SG8E	S&P GSCI Nickel Index Excess Return
SG8F	S&P GSCI Nickel Index Total Return
SG8G	S&P GSCI Non-Energy Index Excess Return
SG8H	S&P GSCI Non-Energy Index
SG8I	S&P GSCI Non-Energy Index Total Return
SG8J	S&P GSCI Livestock Index Total Return
SG9A	S&P GSCI Non-Livestock Index Excess Return
SG9B	S&P GSCI Non-Livestock Index Total Return
SG9C	S&P GSCI Non-Natural Gas Index
SG9D	S&P GSCI Non-Natural Gas Index Excess Return
SG9E	S&P GSCI Non-Natural Gas Index Total Return
SG9F	S&P GSCI Non-Precious Index
SG9G	S&P GSCI Non-Precious Index Excess Return
SG9H	S&P GSCI Non-Precious Index Total Return
SG9I	S&P GSCI Petroleumex-Gas Oil Index
SG9J	S&P GSCI Non-Livestock Index
SGAA	S&P Global Agribusiness Composite Index Usd
SGAB	S&P Global Agribusiness Composite Index Eur
SGAC	S&P Global Agribusiness Equity Index
SGAD	S&P Global Agribusiness Equity Index [Euro]
SGCC	S&P GSCI Capped Commodity 35/20 Index
SGCR	S&P GSCI All Metals Capped Index Excess Return
SGDO	S&P Global Dividend Opportunities Index
SGEI	Credit Suisse Emerging Market Infrastructure Ind
SGEP	Credit Suisse Emerging Market Infrastructure Pri
SGET	Goldman Sachs Liquefied Natural Gas Index [Euro]
SGEY	Credit Suisse Emerging Market Infrastructure Ind
SGIA	S&P North American Natural Resources Sector Inde
SGIB	S&P North American Technology Sector Index
SGIC	S&P North American Technology Hardware Index
SGID	S&P North American Technology Software Index
SGIE	S&P North American Technology Services Index
SGIF	S&P North American Technology Multimedia Network
SGIG	S&P North American Technology Internet Index
SGIH	S&P North Americant Echnology Semiconductors Ind
SGIR	S&P GSCI All Metals Index Excess Return
SGJ	S&P GSCI Energy
SGK	S&P GSCI Agriculture
SGLE	Goldman Sachs Liquefied Natural Gas Index [Euro]
SGLN	Sgi Global Security Index [Euro] [Tr]
SGLS	Sgi Global Security Index [Euro]
SGMA	S&P GSCI All Metals Index
SGME	Sgi Global Momentum [Nettr] [Euro] [Nettr] [Newv
SGMU	Sgi Global Momentum [Nettr] [Newva]
SGNC	Credit Suisse Global Nanotech Index  [Swiss Fran
SGNX	Credit Suisse Global Nanotech Index [Euro]
SGON	S&P Global Dividend Opportunities Index [Nettr]
SGP	S&P GSCI Precious Metals
SGPA	S&P GSCI All Metals Capped Index
SGPG	S&P GSCI Agriculture Capped Index
SGPP	S&P GSCI Capped Commodity 35/20 Index Excess Ret
SGPR	S&P GSCI Agriculture Capped Index Total Return
SGPT	S&P GSCI Capped Commodity 35/20 Index Total Retu
SGQA	S&P GSCI Petroleumex-Gas Oil Index Total Return
SGQB	S&P GSCI Petroleum Index
SGQC	S&P GSCI Petroleum Index Excess Return
SGQD	S&P GSCI Petroleum Index Total Return
SGQE	S&P GSCI Precious Metals Index Excess Return
SGQF	S&P GSCI Precious Metals Index Total Return
SGQG	S&P GSCI Reduced Energy Index [Cpw2]
SGQH	S&P GSCI Reduced Energy Index [Cpw2] Excess Retu
SGQI	S&P GSCI Reduced Energy Index [Cpw2] Total Retur
SGQJ	S&P GSCI Petroleumex Gasoil Index Excess Return
SGRC	S&P GSCI All Metals Capped Commodity 35/20 Eur I
SGRE	S&P GSCI All Metals Capped Commodity 35/20 Eur I
SGRG	S&P GSCI Agriculture Capped Index Excess Return
SGRM	Cohen & Steers Global Realty Majors Portfolio [T
SGRT	S&P GSCI Agriculture Capped Component 35/20 Eur
SGSA	S&P GSCI Silver Index
SGSB	S&P GSCI Silver Index Excess Return
SGSC	S&P GSCI Silver Index Total Return
SGSD	S&P GSCI Soybeans Index
SGSE	S&P GSCI Excess Return
SGSF	S&P GSCI Soybeans Index Excess Return
SGSG	S&P GSCI Soybeans Index Total Return
SGSH	S&P GSCI Sugar Index
SGSJ	S&P GSCI Sugar Index Excess Return
SGSK	S&P GSCI Sugar Index Total Return
SGSM	S&P GSCI Ultra-Light Energy Index [Cpw8] Excess
SGSN	S&P GSCI Ultra-Light Energy Index [Cpw8] Total R
SGSO	S&P GSCI Unleaded Gasoline Index
SGSP	S&P GSCI Unleaded Gasoline Index Excess Return
SGSQ	S&P GSCI Unleaded Gasoline Index Total Return
SGSR	S&P GSCI Wheat Index
SGSS	S&P GSCI Wheat Index Excess Return
SGST	S&P GSCI Wheat Index Total Return
SGSU	S&P GSCI Zinc Index
SGSV	S&P GSCI Zinc Index Excess Return
SGSW	S&P GSCI Zinc Index Total Return
SGSX	S&P GSCI Ultra-Lightenergyindex [Cpw8]
SGT	S&P GSCI Total Return
SGTR	S&P GSCI All Metals Capped Index Total Return
SGV	S&P GSCI Livestock
SGWC	Credit Suisse Global Warming Price Index
SGWE	Credit Suisse Global Warming Index Eur
SGWM	Credit Suisse Global Warming Index
SGWN	Sgi Global Wealth Effect [Nettr]
SGWP	Sgi Global Wealth Effect
SGWT	S&P GSCI Select Equal Weight Index Tr
SGX	S&P GSCI FPI Index
SGY	S&P GSCI Industrial Metals
SHEP	Credit Suisse Hs60 Europe Index Powered By Holt
SHEU	Hs60 Europe Index
SHSB	Hs60 Index
SHSD	Hs60-Euro Index
SHTR	S&P 500 Healthcare Equipment & Services [Tr]
SHUS	Hs60 US Index
SIDO	S&P International Dividend Opportunities Index
SIII	Indus India Index
SIIN	S&P India Select Index
SIIP	S&P Dffi Index Excess Return
SIIS	S&P Dffi Index
SIIT	S&P Dffi Index Total Return
SIN	ISE Sindex Index
SINE	S&P India 10 Index [Euro]
SINU	S&P India 10 Index
SIPR	Brics Nifty 50 Emerging Market Tradable Index Pr
SIRI	S&P Indian Rupee Total Return
SIRP	Cohen & Steers International Realty Majors Portf
SIS	Semicond Idx
SITR	S&P 500 Insurance [Tr]
SIUT	S&P 500 2X Inverse Daily Index
SIV	Cboe/Cbot Soybean Volatility Index
SJPA	S&P Japan 500
SJPB	S&P Japan Mid Cap 100
SJPC	S&P Japan Small Cap 250 Index
SJPD	S&P Topix Yen
SJPE	S&P Jes100
SJRI	S&P Japan Regional Index-Tokai
SJTR	S&P 500 Semiconductors & Semiconductor Equipment
SKTR	S&P 500 Materials [Tr]
SLAC	S&P Lac40 [Us$] [Euro] [Nettr]
SLCN	S&P US Carbon Efficient Index U.S. Carbci Index
SLCT	S&P U.S. Carbon Efficient Index [Tr]
SLCU	S&P U.S. Carbon Efficient Index [Nettr]
SLEE	S&P GSCI Light Energy Eur Index
SLER	S&P GSCI Light Energy Eur Index Er
SLEW	S&P 600 Smallcap Equal Weighted Index
SLPE	Global Listed Private Equity Index
SLPX	Cushing 30 Mlp Index Usd Price Return
SLQR	S&P  500 Low Quality Rankings
SLRT	S&P GSCI Light Energy Eur Index Tr
SLUN	S&P 500 2X Leverage Daily Index
SLUT	S&P 500 Gold Hedged Index
SLV	Silver Index
SML	S&P Smallcap 600
SMPR	Goldman Sachs Brics Nifty 50 Emerging Markets In
SMRW	Revenue Shares Midcap Fund
SMSS	Morgan Stanley Smart Money Equity Index [Tr]
SMTI	Goldman Sachs Brics Nifty 50 Emerging Markets In
SMTR	S&P GSCI All Metals Index Total Return
SMXT	Dws Mega Trends Index [Nettrw/Fees]
SNAC	Alpha Shares China All Cap Index
SNCH	Next 11 Core 8 Index
SNCT	Next 11 Core 8 Index [Tr]
SNEI	S&P Global Nuclear Energy Index [Euro]
SNER	S&P GSCI Non-Energy Eur Indexer
SNEU	S&P Global Nuclear Energy Index
SNNE	S&P Global Infrastructure Index [Euro] [Nettr]
SNNT	S&P Global Infrastructure Index [Nettr]
SNRE	S&P Global Natural Resources Index [Euro]
SNRT	S&P GSCI Non-Energy Eur Index Tr
SNRU	S&P Global Natural Resources Index
SNTE	Next 11 Core 5 Index [Tr]
SNUI	S&P GSCI Non-Energy Eur Index
SNXR	S&P C.S. Ca-San Diego Home Price Index
SOBC	Sgi-Orbeo Carbon Credit Index [Eur-Totalreturn]
SOCC	Sgi-Orbeo Carbon Credit Index [Usd-Totalreturn]
SOTR	S&P 500 Media [Tr]
SOX	PHLX Semiconductor
SP500	S&P 500 Index
SPAA	Sgi Pan Africa Index [Nettr] Panri Indexet
SPAB	Sgi Pan Africa Index [Euro] [Nettr]
SPAC	Sgi Pan Africa Index
SPAD	S&P GSCI Palladium Index
SPEE	S&P Listed Private Equity Index [Euro]
SPER	S&P GSCI Palladium Index Excess Return
SPEY	S&P Listed Private Equity Index
SPIN	S&P GSCI Platinum Index
SPIR	S&P GSCI Platinum Index Excess Return
SPLR	S&P GSCI Platinum Index Total Return
SPPR	S&P International Preferred Stock Index
SPRL	Sgi Premium List [Nettr]
SPRT	S&P GSCI Palladium Index Total Return
SPSU	S& P COMPOSITE 1500 IN DEX
SPUS	S&P  Global Ex-U.S. Property [Us Dollar]
SPX	S&P 500 Index
SPXT	S&P 500 [Tr]
SQTR	S&P 500 Software & Services [Tr]
SRER	S&P Indian Rupee Price Return Index
SRFF	Sgi Fed Funds Index
SRIC	S&P Bric 40 Index [Nettr]
SRIE	S&P Bric 40 Index [Euro] [Nettr]
SRMP	Cohen & Steers US Realty Majors Portfolio [Tr]
SRPR	S&P Global Reit [Usd]
SRTR	S&P 500 Real Estate [Tr]
SRUP	S&P 500 High Quality Rankings Index
SRVA	Rogers Energy Producers Index [Euro]
SRVB	Rogers Metals Producers Index [Euro]
SRVC	Rogers Agricultural Producers Index [Euro]
SRVD	Rogers Energy Producers Index
SRVE	Rogers Metals Producers Index
SRVF	Rogers Agricultural Producers Index
SRVG	Rogers Producers Index
SRVH	Rogers Producers US Extra Liquid Index
SRVI	Rogers Producers Index [Euro]
SRVJ	Rogers Producers US Extra Liquid Index [Euro]
SRWI	Revenue Shares Large Cap Fund
SS1E	S&P 500 Equal Weighted Materials [Sector]
SS1J	S&P 500 Equal Weighted Energy [Sector]
SS2E	S&P 500 Equal Weighted Consumer Discretionary [S
SS2J	S&P 500 Equal Weighted Industrials [Sector]
SS3E	S&P 500 Equal Weighted Healthcare [Sector]
SS3J	S&P 500 Equal Weighted Consumer Staples [Sector]
SS4E	S&P 500 Equal Weighted Information Technology [S
SS4J	S&P 500 Equal Weighted Financials [Sector]
SS5E	S&P 500 Equal Weighted Utilities [Sector]
SS5J	S&P 500 Equal Weighted Telecommunication Service
SSAE	S&P Southeast Asia 40 Index [Euro]
SSAI	S&P Southeast Asia 40 Index [Euro] [Nettr]
SSAU	S&P Southeast Asia 40 Index
SSAX	S&P Asia50
SSBE	S&P Bric 40 Index [Euro]
SSBR	S&P Bric 40 Index
SSCA	S&P Asia Pacific Emerging Bmi [Usdollar]
SSCB	S&P Mid-East And Africa Bmi [Usdollar]
SSCE	S&P /Citigroup Bmi Epac Index
SSCH	S&P China Bmi [Usdollar]
SSCK	S&P Em Bmi [Usdollar]
SSCL	S&P Latin America Bmi [Usdollar]
SSCM	Schwab 1000 Index
SSCP	S&P /Citigroup Bmi Asia Pacific Index
SSCQ	S&P European Emerging Bmi [Capped] [Usdollar]
SSCS	S&P Developed Ex US Under Usd 2 Billion [Usdolla
SSCU	S&P /Citigroup Bmi Europe Index
SSCW	S&P Developed Ex-U.S.Bmi [Usdollar]
SSDI	S&P 500 Dividend Index
SSEC	Shanghai Composite
SSEN	Sgi Global Senior [Nettr]
SSER	Spectrum-Long/Short 8% Index Er [Newva]
SSEW	S&P GSCI Select Equal Weight Index Spot
SSFA	Credit Suisse Family Index
SSFB	Sgi Double Short Bund Index
SSFE	Credit Suisse Family Index [Eur] [Price Return]
SSFP	Credit Suisse Family Index [Usd] [Price Return]
SSFT	Credit Suisse Family Index [Chf] [Price Return]
SSFU	Credit Suisse Family Index Eur
SSGA	Sgi Global Agriculture
SSGC	S&P GSCI Enhanced Capped Index
SSGD	S&P Global1200-Consumer Discretionary [Sector]
SSGE	S&P Global1200-Energy [Sector]
SSGF	S&P Global1200-Financials [Sector]
SSGG	Sgi Global Generics Index [Euro] [Nettr]
SSGH	S&P Global1200-Healthcare [Sector]
SSGI	S&P Global1200-Information Technology [Sector]
SSGL	S&P Global1200
SSGM	S&P Global1200-Materials [Sector]
SSGN	S&P Global1200-Industrials [Sector]
SSGO	S&P GSCI E27 WTI Index
SSGP	S&P GSCI Enhanced Capped Index Excess Return
SSGR	S&P GSCI Enhanced Capped Index Total Return
SSGS	S&P Global1200-Consumer Staples [Sector]
SSGT	S&P Global1200-Telecommunication Services [Secto
SSGU	S&P Global1200-Utilities [Sector]
SSGX	S&P GSCI E27Wti Index Excess Return
SSGZ	S&P GSCI E27Wti Index Total Return
SSHE	S&P Europe 350 Shariah Index
SSHF	Credit Suisse Family Index Chf
SSHJ	S&P Japan 500 Shariah Index
SSHX	S&P 500 Shariah Index
SSIA	Credit Suisse Social Awareness Index
SSIB	S&P GSCI Softs Index Excess Return
SSIC	S&P GSCI Softs Index Total Return
SSIP	S&P Dfi Index Excess Return
SSIS	S&P Dfi Index
SSIT	S&P Dfi Index Total Return
SSLF	S&P Select Frontier Index
SSLS	S&P Custom/Bnp Paribas-Spectrum [Griptest]
SSMI	Swiss Market
SSNI	Sgi Global Nanotechnology Index [Nettr]
SSPA	S&P Adr Index
SSPE	S&P Europe 350
SSPF	S&P Europe 350 - Financials [Sector]
SSPI	S&P Europe 350 - Information Technology [Sector]
SSPL	S&P 500Telecom&It
SSPN	S&P 500Energy[Sector]
SSPT	S&P Europe 350 - Telecommunication Services [Sec
SSPU	S&P Euro
SSRF	S&P Preferred Stock Index
SSRW	Revenue Shares Small Cap Fund
SSTR	Spectrum-Long/Short 8% Index Tr [Newva]
SSTU	S&P 500 Equal Weighted Utilities & Telecommunica
SSUC	S&P GSCI Capped Component 35/20 Index
SSUP	S&P GSCI Capped Component 35/20 Index Excess Ret
SSUT	S&P GSCI Capped Component 35/20 Index Total Retu
SSWP	S&P GSCI Select Equal Weight Index Er
SSWT	Credit Suisse Water Index
SSXP	Credit Suisse Social Awareness Index [Price]
SSXT	Dws Swi X Index [Nettrw/Fees]
STCE	S&P Global Clean Energy Index [Euro]
STCL	S&P Global Clean Energy Index
STDA	S&P Target Date Retirement Income Index
STDB	S&P Target Date 2010 Index
STDC	S&P Target Date 2015 Index
STDD	S&P Target Date 2020 Index
STDE	S&P Target Date 2025 Index
STDF	S&P Target Date 2030 Index
STDG	S&P Target Date 2035 Index
STDH	S&P Target Date 2040 Index
STDI	S&P Target Date 2045 Index
STFE	S&P Global Timber And Forestry Index [Euro]
STFU	S&P Global Timber And Forestry Index
STI	STI Index
STIC	S&P Cti Total Return Usd
STIF	S&P Global Infrastructure Index [Euro]
STIL	Sgi Smart WTI Long Invest Index [Newva]
STIR	S&P Global Infrastructure Index
STIS	S&P Commodity Trends Indicator
STMP	Tortoise Mlp Index
STNC	Tsx American Preferred Stock Index
STNU	S&P/Tsx North American Pref Stock Index
STOXX	DJ Stoxx 50 Index Euro
STRA	S&P Target Risk Aggressive Index
STRB	S&P Target Risk Moderate Index
STRC	S&P Target Risk Growth Index
STRD	S&P Target Risk Conservative Index
STRL	S&P Lac40 [Us$] [Nettr]
STRN	S&P 500 [Nettr]
STRP	Credit Suisse Water Index [Usd] Price
STRS	S&P 500 Tr Short
STRT	S&P 500 Telecommunication Services [Tr]
STRU	S&P 500 Household & Personal Products [Tr]
STSI	Sgi Smart WTI Short Invest Index [Newva]
STSU	S&P Top Ix150 Shariah [Usd]
STSY	S&P Top Ix150 Shariah
STTR	S&P 500 Technology Hardware & Equipment [Tr]
SUCD	S&P Select Sector Capped 20% Consumer Discretion
SUCS	S&P Select Sector Capped 20% Consumer Staples In
SUEP	S&P Select Sector Capped 20% Energy Index Net Tr
SUFP	S&P Select Sector Capped 20% Financials Index Ne
SUHC	S&P Select Sector Capped 20% Healthcare Index Ne
SUIP	S&P Select Sector Capped 20% Industrials Index N
SUJP	S&P Mitsubishi Corporate Group Index
SUKP	S&P United Kingdom [Pds]
SUKS	S&P United Kingdom [Usd]
SUMI	S&P Select Sector Capped 20% Materials Index Net
SUNI	Mac Global Solar Energy Index Tr
SUPI	S&P Select Sector Capped 20% Utilities Index Net
SURI	S&P /Citigroup Bmi Reit Sus Index
SUTP	S&P Select Sector Capped 20% Technology Index Ne
SVO	Sig Energy Mlp Index
SVTR	Next 11 Vietnam [Totalreturn] Index
SW0B	S&P Developed Ex-U.S.Bmi [Capped] Energy
SW0C	S&P Developed Ex-U.S.Bmi [Capped] Materials
SW0D	S&P Developed Ex-U.S.Bmi [Capped] Industrials
SW0E	S&P Developed Ex-U.S.Bmi [Capped] Consumer Discr
SW0F	S&P Developed Ex-U.S.Bmi [Capped] Consumer Stapl
SW0G	S&P Developed Ex-U.S.Bmi [Capped] Healthcare
SW0H	S&P Developed Ex-U.S.Bmi [Capped] Financials
SW0I	S&P Developed Ex-U.S.Bmi [Capped] Information Te
SW1A	S&P Developed Ex-U.S.Bmi [Capped] Utilities
SW1B	S&P Developed Ex-U.S.Cap Range Companies Between
SW1C	S&P Emerging Under Usd 2 Billion
SW1J	S&P Developed Ex-U.S.Bmi [Capped] Telecommunicat
SWCH	Credit Suisse Water Index  [Chf]
SWDI	Vtl Navellier Revenue Weighted Index
SWDR	Vtl Revenue Weighted Adr Index
SWET	Credit Suisse Water Index [Euro]
SWFI	Revenue Shares Large Cap Fund Financials [Sector
SWIB	Sgi Wise Bottom
SWIT	Sgi Wise Top
SWML	Wachovia Mlp Index
SWSP	S&P World Commodity Index
SWTE	Wisdom Tree Earnings 500 Index
SWTM	Wisdom Tree Mid Cap Earnings Index
SWTS	Wisdom Tree Small Cap Earnings Index
SWTT	Wisdom Tree Earnings Index
SWTV	Wisdom Tree Large Cap Value Index
SWUB	Sgi Wise US Bottom
SWUL	Sgi Wise US Long/Short [Newva]
SWUT	Sgi Wise US Top
SXTR	S&P 500 Utilities [Industry Group] [Tr]
SYTR	S&P 500 Transportation [Industry Group] [Tr]
SZTR	S&P 500 Retailing [Industry Group] [Tr]
TA25	Tel Aviv 25 Index
TACK	AMEX Tick
TACX	AMEX Tick
TASI	Tadawul All Shares Index
TBO	AMEX Tobacco Index Settlement
TCFI	TSX Comp Stocks Above 50-Day Average
TCOF	TSX Comp Stocks Above 150-Day Average
TCOH	TSX Comp Stocks Above 100-Day Average
